l,r,x,y
1.025,0.995,0.0505,0.913210647
,,,
1.015,0.985,0.05,0.902746031
,,,
1.015,0.985,0.05,0.902746031
,,,
1.025,0.975,0.083333333,0.900621142
,,,
1.025,0.965,0.0995,0.893941073
,,,
1.045,0.975,0.117833333,0.907831042
,,,
1.035,0.975,0.1005,0.90437139
,,,
1.055,0.985,0.119,0.918227246
,,,
1.035,0.975,0.1005,0.90437139
,,,
1.055,0.975,0.135333333,0.910994219
,,,
1.055,0.975,0.135333333,0.910994219
,,,
0,0,0,0
,,,
1.045,0.985,0.1015,0.914791558
,,,
1.035,0.975,0.1005,0.90437139
,,,
1.025,0.985,0.067,0.907045453
,,,
1.045,0.985,0.1015,0.914791558
,,,
1.035,0.985,0.084166667,0.911062418
,,,
1.015,0.985,0.05,0.902746031
,,,
1.045,0.985,0.1015,0.914791558
,,,
1.035,0.985,0.084166667,0.911062418
,,,
1.065,0.985,0.136666667,0.921363589
,,,
1.045,0.985,0.1015,0.914791558
,,,
1.055,0.985,0.119,0.918227246
,,,
1.075,0.985,0.1545,0.924194411
,,,
1.075,0.995,0.138,0.931723484
,,,
1.045,0.995,0.085,0.921493695
,,,
1.025,0.995,0.0505,0.913210647
,,,
1.035,0.985,0.084166667,0.911062418
,,,
1.035,0.975,0.1005,0.90437139
,,,
1.045,0.975,0.117833333,0.907831042
,,,
1.065,0.965,0.169166667,0.906089765
,,,
1.085,0.975,0.188833333,0.918641818
,,,
1.085,0.995,0.156,0.934524758
,,,
1.065,0.985,0.136666667,0.921363589
,,,
1.105,0.985,0.209,0.930787439
,,,
1.085,1.005,0.139333333,0.942074202
,,,
1.125,1.025,0.179166667,0.967852792
,,,
1.165,1.065,0.185833333,1.008863056
,,,
1.275,1.145,0.262166667,1.094374781
,,,
1.365,1.235,0.281666667,1.184863915
,,,
1.445,1.305,0.320833333,1.254833695
,,,
1.505,1.395,0.265833333,1.344581528
,,,
1.615,1.475,0.3605,1.423758715
,,,
1.755,1.605,0.42,1.550507732
,,,
1.825,1.725,0.295833333,1.674994968
,,,
1.915,1.845,0.219333333,1.793235712
,,,
2.035,1.955,0.266,1.904704325
,,,
2.175,2.125,0.179166667,2.071561761
,,,
2.285,2.245,0.151,2.190049999
,,,
2.375,2.355,0.078833333,2.294591714
,,,
2.465,2.435,0.1225,2.378521927
,,,
2.615,2.595,0.086833333,2.536229876
,,,
2.775,2.655,0.543,2.593856274
,,,
2.865,2.725,0.652166667,2.652147968
,,,
3.055,2.825,1.127,2.651239715
,,,
3.175,2.915,1.3195,2.680905482
,,,
3.275,3.095,0.9555,2.974788381
,,,
3.365,3.185,0.9825,3.06101571
,,,
3.425,3.235,1.0545,3.095783646
,,,
3.505,3.305,1.135,3.14778048
,,,
3.615,3.435,1.0575,3.300435606
,,,
3.615,3.505,0.652666667,3.437212529
,,,
3.615,3.555,0.3585,3.504518638
,,,
3.695,3.585,0.667333333,3.516131128
,,,
3.725,3.605,0.733,3.528901507
,,,
3.695,3.595,0.6075,3.531824779
,,,
3.685,3.595,0.546,3.536573434
,,,
3.645,3.585,0.3615,3.534472451
,,,
3.625,3.575,0.3,3.525
,,,
3.615,3.575,0.239666667,3.524490857
,,,
3.625,3.575,0.3,3.525
,,,
3.625,3.575,0.3,3.525
,,,
3.615,3.585,0.18,3.532991069
,,,
3.615,3.585,0.18,3.532991069
,,,
3.615,3.585,0.18,3.532991069
,,,
3.615,3.585,0.18,3.532991069
,,,
3.625,3.585,0.240333333,3.534503437
,,,
3.605,3.585,0.119833333,3.530469937
,,,
3.615,3.595,0.120166667,3.540499265
,,,
3.665,3.585,0.483333333,3.530309189
,,,
3.645,3.605,0.241666667,3.554528017
,,,
3.635,3.635,0,3.572599205
,,,
3.605,3.655,-0.3025,3.554999133
,,,
3.585,3.695,-0.667333333,3.516131128
,,,
3.555,3.705,-0.9075,3.452708773
,,,
3.555,3.765,-1.281,3.366967076
,,,
3.545,3.775,-1.403,3.319037845
,,,
3.565,3.785,-1.3475,3.357633893
,,,
3.575,3.815,-1.478,3.325343094
,,,
3.565,3.835,-1.665,3.243326586
,,,
3.585,3.865,-1.738333333,3.233812148
,,,
3.615,3.895,-1.752333333,3.260430922
,,,
3.635,3.925,-1.827,3.248711264
,,,
3.655,3.935,-1.771,3.295920501
,,,
3.675,3.975,-1.9125,3.252342918
,,,
3.705,3.975,-1.728,3.368748455
,,,
3.705,3.995,-1.860833333,3.310182183
,,,
3.715,3.985,-1.7325,3.377706048
,,,
3.725,3.995,-1.737,3.386663498
,,,
3.755,3.985,-1.4835,3.513615124
,,,
3.755,3.985,-1.4835,3.513615124
,,,
3.745,3.995,0,0
,,,
3.765,3.995,-1.487333333,3.522879029
,,,
3.745,3.985,-1.546,3.481643951
,,,
3.715,3.995,-1.799,3.349150482
,,,
3.705,3.985,-1.794333333,3.340279176
